Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Country,Salary
General Clerk,0.9,242,1903,0.1271676300578034,Hospitality,Singapore,260.0
Adjunct Instructor,0.05,1174,4677,0.2510156082959162,Supply Chain & Logistics,Cambodia,580.0
Technical Analyst,0.25,836,2289,0.3652249890782001,Law Enforcement,Vietnam,556.25
Geoscientist,0.3,127,1382,0.0918958031837916,Sales & Marketing,Philippines,550.0
Bricklayer,0.85,3,30,0.1,Construction,Singapore,290.0
Industrial Maintenance Technician,0.45,295,1170,0.2521367521367521,Medical & Healthcare,Malaysia,516.25
Design Manager,0.15,1297,5252,0.2469535415079969,Leadership & Strategy,Myanmar,561.25
Employment Specialist,0.3,216,1190,0.1815126050420168,Communication & PR,Philippines,550.0
Accounting Auditor,0.4,680,2109,0.3224276908487434,Sales & Marketing,Thailand,530.0
Chief Nursing Officer,0.25,174,1334,0.1304347826086956,Leadership & Strategy,Vietnam,556.25
Repair Technician,0.2,125,1244,0.1004823151125401,Medical & Healthcare,Laos,560.0
Real Estate Broker,0.15,1071,4256,0.2516447368421052,Communication & PR,Myanmar,561.25
Help Desk Specialist,0.4,843,2600,0.3242307692307692,Construction,Thailand,530.0
Contact Tracing,0.6,94,604,0.1556291390728476,Communication & PR,Singapore,440.0
Independent Contractor,0.4,522,1454,0.359009628610729,Supply Chain & Logistics,Thailand,530.0
Registrar,0.3,129,736,0.1752717391304347,Administrative & Clerical,Philippines,550.0
Physician,0.12,540,2130,0.2535211267605634,Sales & Marketing,Myanmar,574.0
Cyber Security Analyst,0.2,7,54,0.1296296296296296,Medical & Healthcare,Laos,560.0
Lead Pharmacy Technician,0.25,194,1534,0.1264667535853976,Administrative & Clerical,Vietnam,556.25
Food Technologist,0.35,336,1179,0.2849872773536895,Supply Chain & Logistics,Indonesia,541.25
Line Cook,0.2,33,183,0.180327868852459,Supply Chain & Logistics,Laos,560.0
Residential Electrician,0.2,77,927,0.0830636461704422,Supply Chain & Logistics,Laos,560.0
Investment Specialist,0.2,255,1845,0.1382113821138211,Medical & Healthcare,Laos,560.0
Lean Consultant,0.3,290,1678,0.1728247914183552,Data & IT,Philippines,550.0
